0,0.3130596428571429,0.488,0.478,0.499,0.497,0.489,0.489,0.497,0.495,0.496,0.47
2000,0.32220702380952376,0.516,0.468,0.498,0.514,0.49,0.493,0.515,0.494,0.484,0.495
3000,0.3275077380952381,0.505,0.489,0.514,0.521,0.504,0.519,0.515,0.492,0.485,0.475
4000,0.32237571428571427,0.507,0.477,0.501,0.503,0.503,0.493,0.511,0.499,0.487,0.477
5000,0.32345999999999997,0.504,0.49,0.506,0.5,0.485,0.495,0.504,0.5,0.489,0.483
6000,0.32442793650793644,0.513,0.502,0.488,0.481,0.467,0.494,0.495,0.504,0.49,0.486
7000,0.3197250396825397,0.496,0.513,0.483,0.474,0.435,0.484,0.471,0.504,0.495,0.489
8000,0.3211805555555556,0.494,0.499,0.484,0.474,0.443,0.473,0.494,0.501,0.49,0.486
9000,0.3210215476190476,0.489,0.495,0.487,0.462,0.445,0.469,0.498,0.502,0.489,0.496
10000,0.3210461507936508,0.487,0.498,0.484,0.461,0.442,0.468,0.505,0.503,0.489,0.491
11000,0.3193544047619048,0.485,0.497,0.478,0.461,0.444,0.469,0.503,0.506,0.487,0.491
12000,0.3244365476190476,0.497,0.494,0.484,0.466,0.448,0.474,0.505,0.507,0.494,0.496
13000,0.32737900793650787,0.497,0.495,0.486,0.478,0.457,0.476,0.511,0.514,0.495,0.504
14000,0.32398654761904766,0.488,0.493,0.484,0.477,0.458,0.469,0.511,0.514,0.494,0.501
15000,0.32298607142857144,0.486,0.495,0.481,0.468,0.458,0.47,0.508,0.505,0.495,0.504
16000,0.3259248412698412,0.489,0.505,0.483,0.475,0.467,0.465,0.516,0.511,0.494,0.494
17000,0.32498634920634917,0.481,0.507,0.47,0.472,0.465,0.469,0.514,0.515,0.499,0.496
18000,0.326483373015873,0.495,0.498,0.464,0.475,0.468,0.478,0.52,0.523,0.502,0.495
19000,0.32639242063492063,0.5,0.492,0.465,0.472,0.465,0.478,0.52,0.524,0.497,0.497
20000,0.32402234126984125,0.493,0.495,0.46,0.472,0.465,0.482,0.516,0.523,0.497,0.505
21000,0.3258184523809524,0.494,0.497,0.469,0.488,0.474,0.494,0.516,0.512,0.493,0.513
22000,0.32507162698412695,0.51,0.493,0.484,0.501,0.481,0.501,0.517,0.528,0.48,0.525
23000,0.3379182142857143,0.531,0.505,0.488,0.512,0.505,0.513,0.524,0.525,0.482,0.516
24000,0.3314763095238095,0.517,0.497,0.482,0.495,0.498,0.514,0.528,0.513,0.49,0.513
25000,0.33130031746031746,0.51,0.506,0.464,0.484,0.48,0.497,0.522,0.52,0.505,0.513
26000,0.32901436507936505,0.507,0.503,0.465,0.47,0.475,0.493,0.528,0.518,0.503,0.497
27000,0.3292239682539682,0.51,0.497,0.468,0.473,0.466,0.491,0.529,0.513,0.504,0.496
28000,0.32749,0.506,0.49,0.47,0.471,0.461,0.497,0.532,0.509,0.499,0.497
29000,0.32816313492063487,0.498,0.497,0.476,0.471,0.463,0.496,0.519,0.506,0.503,0.502
30000,0.3287186111111111,0.5,0.492,0.47,0.475,0.458,0.494,0.519,0.5,0.515,0.508
31000,0.3290451587301587,0.496,0.509,0.465,0.476,0.458,0.493,0.522,0.496,0.515,0.501
32000,0.329331626984127,0.496,0.507,0.467,0.476,0.455,0.498,0.524,0.495,0.515,0.508
33000,0.33148865079365075,0.509,0.506,0.471,0.478,0.452,0.499,0.518,0.496,0.514,0.504
34000,0.32901658730158734,0.512,0.497,0.469,0.48,0.441,0.494,0.505,0.494,0.511,0.505
35000,0.32573039682539684,0.505,0.495,0.463,0.471,0.441,0.496,0.503,0.495,0.509,0.502
36000,0.3247365476190476,0.506,0.496,0.457,0.472,0.437,0.495,0.504,0.5,0.511,0.5
37000,0.32380162698412696,0.505,0.5,0.454,0.472,0.441,0.49,0.499,0.499,0.507,0.496
38000,0.32466039682539677,0.499,0.505,0.462,0.476,0.443,0.488,0.502,0.5,0.506,0.496
39000,0.32737369047619047,0.502,0.505,0.469,0.487,0.439,0.492,0.505,0.499,0.508,0.497
40000,0.3288419841269841,0.514,0.502,0.47,0.489,0.441,0.495,0.507,0.494,0.502,0.496
41000,0.32924511904761905,0.515,0.506,0.467,0.489,0.435,0.5,0.508,0.493,0.504,0.497
42000,0.3312398015873016,0.525,0.508,0.47,0.49,0.435,0.496,0.51,0.494,0.505,0.495
43000,0.33229337301587303,0.525,0.514,0.471,0.492,0.438,0.496,0.512,0.499,0.501,0.495
44000,0.3313823015873016,0.517,0.523,0.468,0.495,0.443,0.495,0.513,0.504,0.499,0.494
45000,0.3316983333333333,0.514,0.524,0.476,0.499,0.453,0.511,0.508,0.504,0.509,0.498
46000,0.342754126984127,0.524,0.54,0.507,0.502,0.503,0.518,0.497,0.493,0.513,0.506
47000,0.37328424603174604,0.533,0.554,0.515,0.517,0.517,0.532,0.523,0.501,0.497,0.51
48000,0.3844037698412699,0.531,0.563,0.521,0.525,0.536,0.535,0.547,0.517,0.485,0.513
49000,0.3917855952380952,0.546,0.562,0.527,0.523,0.547,0.531,0.55,0.519,0.491,0.502
50000,0.395406626984127,0.551,0.561,0.536,0.522,0.551,0.528,0.551,0.518,0.489,0.507
51000,0.3969511904761905,0.55,0.568,0.529,0.525,0.556,0.524,0.55,0.524,0.486,0.505
52000,0.3993469841269841,0.551,0.568,0.532,0.521,0.557,0.528,0.546,0.526,0.497,0.505
53000,0.39937591269841266,0.551,0.564,0.531,0.524,0.553,0.532,0.546,0.519,0.498,0.509
54000,0.3996707936507936,0.554,0.562,0.533,0.522,0.551,0.533,0.547,0.519,0.492,0.503
55000,0.40047976190476187,0.553,0.567,0.535,0.521,0.552,0.532,0.544,0.517,0.491,0.503
56000,0.3989015476190476,0.556,0.563,0.535,0.522,0.547,0.531,0.537,0.515,0.492,0.499
57000,0.3995156746031746,0.556,0.567,0.54,0.518,0.543,0.53,0.537,0.518,0.493,0.501
58000,0.40019976190476186,0.557,0.567,0.541,0.519,0.544,0.532,0.536,0.519,0.496,0.504
59000,0.3981867857142857,0.553,0.559,0.542,0.517,0.543,0.529,0.538,0.516,0.504,0.505
60000,0.3988928571428571,0.553,0.558,0.545,0.518,0.543,0.535,0.538,0.514,0.506,0.504
61000,0.39808130952380955,0.556,0.561,0.544,0.521,0.54,0.524,0.531,0.514,0.508,0.501
62000,0.39417472222222216,0.55,0.556,0.541,0.528,0.538,0.522,0.531,0.512,0.505,0.498
63000,0.39309007936507934,0.549,0.56,0.534,0.527,0.536,0.527,0.54,0.522,0.501,0.498
64000,0.38920821428571434,0.546,0.568,0.526,0.52,0.534,0.526,0.535,0.521,0.504,0.494
65000,0.3835915873015873,0.539,0.563,0.527,0.516,0.53,0.532,0.531,0.519,0.497,0.486
66000,0.376479365079365,0.527,0.561,0.523,0.524,0.526,0.524,0.531,0.519,0.487,0.495
67000,0.36057194444444446,0.523,0.539,0.512,0.515,0.509,0.529,0.527,0.517,0.492,0.496
68000,0.33097341269841274,0.511,0.526,0.5,0.486,0.497,0.511,0.536,0.478,0.494,0.489
69000,0.32808809523809523,0.495,0.527,0.49,0.469,0.468,0.505,0.52,0.487,0.499,0.484
70000,0.3279376190476191,0.495,0.513,0.475,0.474,0.446,0.494,0.511,0.496,0.492,0.493
71000,0.32629075396825397,0.49,0.504,0.469,0.471,0.441,0.491,0.512,0.492,0.492,0.493
72000,0.3266003174603175,0.491,0.498,0.468,0.47,0.438,0.496,0.513,0.491,0.489,0.5
73000,0.329343373015873,0.5,0.498,0.462,0.468,0.439,0.494,0.511,0.493,0.497,0.494
74000,0.32593380952380957,0.495,0.495,0.453,0.466,0.439,0.49,0.502,0.491,0.498,0.491
75000,0.32740829365079366,0.498,0.495,0.45,0.472,0.433,0.489,0.502,0.496,0.497,0.501
76000,0.3274430952380952,0.5,0.497,0.451,0.474,0.429,0.494,0.491,0.492,0.498,0.497
