0,0.3130596428571429,0.488,0.478,0.499,0.497,0.489,0.489,0.497,0.495,0.496,0.47
0,0.3130596428571429,0.488,0.478,0.499,0.497,0.489,0.489,0.497,0.495,0.496,0.47
1000,0.31632428571428567,0.499,0.474,0.504,0.495,0.498,0.496,0.508,0.485,0.492,0.468
2000,0.3215410714285714,0.502,0.48,0.506,0.515,0.49,0.503,0.513,0.49,0.479,0.49
3000,0.3212976984126984,0.498,0.48,0.521,0.515,0.506,0.496,0.513,0.476,0.485,0.477
4000,0.3227461507936508,0.496,0.478,0.518,0.515,0.503,0.483,0.519,0.495,0.486,0.475
5000,0.3195544841269841,0.503,0.481,0.513,0.494,0.47,0.48,0.497,0.482,0.504,0.484
6000,0.31850623015873014,0.499,0.481,0.504,0.494,0.463,0.478,0.49,0.497,0.5,0.485
7000,0.31685749999999996,0.499,0.471,0.503,0.46,0.466,0.477,0.475,0.492,0.499,0.483
8000,0.31625623015873017,0.497,0.485,0.493,0.462,0.436,0.476,0.493,0.494,0.501,0.476
9000,0.3191103968253968,0.498,0.488,0.497,0.466,0.43,0.476,0.486,0.503,0.495,0.48
10000,0.31856690476190475,0.494,0.485,0.49,0.47,0.438,0.464,0.491,0.506,0.49,0.489
11000,0.31801750000000006,0.493,0.486,0.49,0.475,0.44,0.463,0.494,0.508,0.494,0.487
12000,0.3198114285714286,0.489,0.486,0.502,0.479,0.457,0.475,0.497,0.508,0.491,0.489
13000,0.32309567460317457,0.498,0.494,0.503,0.477,0.463,0.488,0.497,0.506,0.489,0.486
14000,0.32204579365079367,0.494,0.494,0.499,0.476,0.464,0.486,0.488,0.508,0.496,0.488
15000,0.32185138888888887,0.495,0.49,0.494,0.477,0.46,0.487,0.49,0.508,0.498,0.491
16000,0.3213049603174603,0.494,0.484,0.486,0.475,0.461,0.487,0.494,0.506,0.509,0.487
17000,0.3216275396825397,0.486,0.488,0.473,0.47,0.451,0.494,0.493,0.507,0.506,0.494
18000,0.31820884920634923,0.478,0.48,0.478,0.472,0.444,0.478,0.492,0.501,0.513,0.488
19000,0.3200334126984127,0.482,0.474,0.478,0.473,0.447,0.482,0.493,0.499,0.521,0.486
20000,0.32029111111111114,0.478,0.477,0.474,0.472,0.443,0.489,0.49,0.5,0.518,0.493
21000,0.3222787301587302,0.483,0.481,0.477,0.474,0.443,0.493,0.485,0.498,0.521,0.49
22000,0.32323777777777774,0.48,0.481,0.479,0.483,0.446,0.498,0.488,0.497,0.521,0.487
23000,0.32372456349206347,0.489,0.48,0.48,0.492,0.437,0.499,0.493,0.49,0.515,0.481
24000,0.3254756349206349,0.492,0.486,0.478,0.494,0.442,0.497,0.492,0.492,0.513,0.484
25000,0.3235708333333333,0.489,0.483,0.477,0.489,0.438,0.498,0.493,0.496,0.514,0.474
26000,0.32129611111111117,0.485,0.483,0.476,0.484,0.437,0.496,0.49,0.494,0.511,0.469
27000,0.32169595238095233,0.487,0.48,0.478,0.494,0.437,0.497,0.491,0.488,0.512,0.465
28000,0.3222696031746031,0.486,0.482,0.476,0.494,0.437,0.491,0.497,0.488,0.505,0.469
29000,0.32080353174603177,0.488,0.482,0.476,0.487,0.436,0.488,0.495,0.486,0.508,0.466
30000,0.3227009126984127,0.484,0.486,0.479,0.492,0.438,0.489,0.492,0.491,0.511,0.465
31000,0.321838253968254,0.483,0.486,0.472,0.481,0.431,0.484,0.488,0.49,0.515,0.475
32000,0.322220873015873,0.483,0.483,0.469,0.483,0.428,0.481,0.495,0.486,0.51,0.477
33000,0.3216055952380952,0.475,0.487,0.473,0.477,0.424,0.478,0.495,0.491,0.51,0.476
34000,0.3205496825396825,0.469,0.488,0.471,0.478,0.432,0.479,0.491,0.489,0.508,0.479
35000,0.32165734126984125,0.471,0.486,0.475,0.472,0.435,0.484,0.492,0.496,0.507,0.477
36000,0.32043190476190475,0.474,0.488,0.473,0.468,0.432,0.482,0.489,0.492,0.502,0.48
37000,0.32066809523809525,0.469,0.491,0.468,0.473,0.433,0.483,0.496,0.492,0.501,0.484
38000,0.3215348809523809,0.477,0.491,0.472,0.468,0.428,0.484,0.495,0.49,0.502,0.486
39000,0.3216846825396825,0.475,0.492,0.472,0.469,0.428,0.486,0.493,0.489,0.506,0.486
40000,0.3214639682539682,0.475,0.491,0.468,0.472,0.43,0.483,0.493,0.494,0.504,0.488
41000,0.3221590476190476,0.48,0.497,0.467,0.472,0.426,0.478,0.492,0.493,0.504,0.489
42000,0.3218504365079365,0.478,0.497,0.465,0.472,0.427,0.475,0.491,0.492,0.506,0.49
43000,0.3208238492063492,0.475,0.493,0.463,0.474,0.429,0.477,0.489,0.497,0.501,0.492
44000,0.32051630952380955,0.472,0.496,0.461,0.481,0.427,0.475,0.49,0.493,0.502,0.49
45000,0.3210664285714286,0.473,0.497,0.46,0.483,0.429,0.475,0.49,0.495,0.504,0.494
46000,0.3220671825396826,0.482,0.494,0.46,0.488,0.428,0.475,0.493,0.494,0.502,0.493
47000,0.3221642063492064,0.482,0.498,0.459,0.489,0.431,0.471,0.491,0.498,0.505,0.492
48000,0.3266873015873016,0.476,0.509,0.463,0.494,0.437,0.482,0.497,0.509,0.499,0.493
49000,0.32541158730158737,0.478,0.516,0.463,0.483,0.442,0.489,0.497,0.5,0.504,0.497
50000,0.31815722222222226,0.482,0.527,0.472,0.504,0.455,0.505,0.487,0.519,0.502,0.493
51000,0.3480259523809524,0.489,0.555,0.508,0.506,0.518,0.538,0.509,0.529,0.497,0.493
52000,0.36720202380952377,0.501,0.575,0.508,0.524,0.526,0.544,0.504,0.515,0.505,0.505
53000,0.3774787301587302,0.506,0.571,0.521,0.526,0.54,0.542,0.517,0.519,0.501,0.511
54000,0.3832175,0.512,0.577,0.518,0.531,0.538,0.544,0.518,0.52,0.506,0.517
55000,0.38768753968253966,0.519,0.579,0.515,0.536,0.539,0.544,0.52,0.519,0.514,0.52
56000,0.38801623015873016,0.523,0.575,0.517,0.542,0.547,0.542,0.518,0.515,0.498,0.515
57000,0.38986531746031744,0.534,0.568,0.522,0.54,0.552,0.542,0.518,0.51,0.497,0.513
58000,0.3938000793650793,0.542,0.564,0.523,0.541,0.56,0.544,0.516,0.514,0.497,0.521
59000,0.39462884920634916,0.545,0.56,0.524,0.544,0.557,0.546,0.519,0.514,0.492,0.514
60000,0.39505011904761905,0.541,0.562,0.525,0.537,0.558,0.547,0.526,0.515,0.497,0.508
61000,0.39685039682539686,0.545,0.562,0.527,0.54,0.561,0.539,0.529,0.511,0.501,0.512
62000,0.3986984523809524,0.551,0.56,0.53,0.537,0.561,0.547,0.526,0.512,0.502,0.512
63000,0.3997900396825397,0.552,0.561,0.527,0.543,0.568,0.546,0.527,0.508,0.499,0.51
64000,0.40082654761904757,0.552,0.559,0.527,0.544,0.564,0.547,0.529,0.511,0.498,0.511
65000,0.4011001984126984,0.552,0.556,0.527,0.544,0.563,0.547,0.533,0.512,0.495,0.512
66000,0.40450412698412697,0.551,0.558,0.528,0.545,0.561,0.552,0.542,0.512,0.502,0.52
67000,0.40654809523809526,0.551,0.558,0.537,0.545,0.56,0.549,0.546,0.515,0.503,0.52
68000,0.4063126984126984,0.552,0.556,0.535,0.543,0.562,0.549,0.548,0.519,0.5,0.517
69000,0.4061879365079365,0.554,0.558,0.536,0.539,0.564,0.546,0.545,0.515,0.498,0.516
70000,0.40656531746031743,0.556,0.559,0.535,0.54,0.563,0.546,0.546,0.515,0.495,0.514
